,tweet_id,timestamp,text,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,SD_rate,retweet_countleft,favorite_countleft,jpg_url_x,p1_x,p2_x,p3_x,retweet_countright,favorite_countright,retweet_countleft,favorite_countleft,retweet_count_x,favorite_count_x,retweet_count_y,favorite_count_y,jpg_url_y,p1_y,p2_y,p3_y,jpg_url,p1,p2,p3,dogs,dog_T
0,892420643555336193,2017-08-01 16:23:56+00:00,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13,10,Phineas,None,None,None,None,1.3,8853,39467,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,Orange,Bagel,Banana,8853,39467,8853,39467,8853,39467,8853,39467,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,Orange,Bagel,Banana,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,Orange,Bagel,Banana,,
1,892177421306343426,2017-08-01 00:17:27+00:00,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,None,None,None,None,1.3,6514,33819,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,Pekinese,Papillon,6514,33819,6514,33819,6514,33819,6514,33819,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,Pekinese,Papillon,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,Pekinese,Papillon,,
2,891815181378084864,2017-07-31 00:18:03+00:00,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,None,None,None,None,1.2,4328,25461,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,Malamute,Kelpie,4328,25461,4328,25461,4328,25461,4328,25461,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,Malamute,Kelpie,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,Malamute,Kelpie,,
3,891689557279858688,2017-07-30 15:58:51+00:00,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13,10,Darla,None,None,None,None,1.3,8964,42908,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Paper_towel,Labrador_retriever,Spatula,8964,42908,8964,42908,8964,42908,8964,42908,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Paper_towel,Labrador_retriever,Spatula,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Paper_towel,Labrador_retriever,Spatula,,
4,891327558926688256,2017-07-29 16:00:24+00:00,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,10,Franklin,None,None,None,None,1.2,9774,41048,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,Basset,English_springer,German_short-haired_pointer,9774,41048,9774,41048,9774,41048,9774,41048,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,Basset,English_springer,German_short-haired_pointer,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,Basset,English_springer,German_short-haired_pointer,,
5,890971913173991426,2017-07-28 16:27:12+00:00,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13,10,Jax,None,None,None,None,1.3,2158,12041,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,Border_collie,Ice_lolly,2158,12041,2158,12041,2158,12041,2158,12041,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,Border_collie,Ice_lolly,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,Border_collie,Ice_lolly,,
6,890609185150312448,2017-07-27 16:25:51+00:00,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,10,Zoey,None,None,None,None,1.3,4429,28226,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,Irish_setter,Chesapeake_bay_retriever,4429,28226,4429,28226,4429,28226,4429,28226,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,Irish_setter,Chesapeake_bay_retriever,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,Irish_setter,Chesapeake_bay_retriever,,
7,890240255349198849,2017-07-26 15:59:51+00:00,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,Cassie,doggo,None,None,None,1.4,7711,32467,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,Cardigan,Chihuahua,7711,32467,7711,32467,7711,32467,7711,32467,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,Cardigan,Chihuahua,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,Cardigan,Chihuahua,doggo,
8,890006608113172480,2017-07-26 00:31:25+00:00,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13,10,Koda,None,None,None,None,1.3,7624,31166,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,Pomeranian,Chow,7624,31166,7624,31166,7624,31166,7624,31166,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,Pomeranian,Chow,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,Pomeranian,Chow,,
9,889880896479866881,2017-07-25 16:11:53+00:00,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13,10,Bruno,None,None,None,None,1.3,5156,28268,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French_bulldog,Labrador_retriever,Muzzle,5156,28268,5156,28268,5156,28268,5156,28268,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French_bulldog,Labrador_retriever,Muzzle,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French_bulldog,Labrador_retriever,Muzzle,,
10,889638837579907072,2017-07-25 00:10:02+00:00,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12,10,Ted,None,None,None,None,1.2,4735,27672,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French_bulldog,Boxer,Staffordshire_bullterrier,4735,27672,4735,27672,4735,27672,4735,27672,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French_bulldog,Boxer,Staffordshire_bullterrier,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French_bulldog,Boxer,Staffordshire_bullterrier,,
11,889531135344209921,2017-07-24 17:02:04+00:00,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13,10,Stuart,None,None,None,puppo,1.3,2321,15359,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,Golden_retriever,Labrador_retriever,Redbone,2321,15359,2321,15359,2321,15359,2321,15359,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,Golden_retriever,Labrador_retriever,Redbone,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,Golden_retriever,Labrador_retriever,Redbone,puppo,
12,889278841981685760,2017-07-24 00:19:32+00:00,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13,10,Oliver,None,None,None,None,1.3,5637,25652,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,Whippet,Borzoi,Saluki,5637,25652,5637,25652,5637,25652,5637,25652,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,Whippet,Borzoi,Saluki,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,Whippet,Borzoi,Saluki,,
13,888917238123831296,2017-07-23 00:22:39+00:00,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,12,10,Jim,None,None,None,None,1.2,4709,29611,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,Golden_retriever,Tibetan_mastiff,Labrador_retriever,4709,29611,4709,29611,4709,29611,4709,29611,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,Golden_retriever,Tibetan_mastiff,Labrador_retriever,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,Golden_retriever,Tibetan_mastiff,Labrador_retriever,,
14,888804989199671297,2017-07-22 16:56:37+00:00,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,13,10,Zeke,None,None,None,None,1.3,4559,26080,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,Golden_retriever,Labrador_retriever,English_setter,4559,26080,4559,26080,4559,26080,4559,26080,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,Golden_retriever,Labrador_retriever,English_setter,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,Golden_retriever,Labrador_retriever,English_setter,,
